,state,state_abbr,date,handle,revenue,hold,taxes,population total 18+,Revenue Per Person
0,Arkansas,AR,2019-07-01,416160.0,76885.0,0.19,9995.0,2322098.0,0.033110144360832316
1,Arkansas,AR,2019-08-01,778249.0,58858.0,0.08,7652.0,2322098.0,0.025346906116796103
2,Arkansas,AR,2019-09-01,2252196.0,183044.0,0.08,23796.0,2322098.0,0.07882699179793445
3,Arkansas,AR,2019-10-01,2216369.0,380006.0,0.17,49401.0,2322098.0,0.16364770134593803
4,Arkansas,AR,2019-11-01,2978235.0,181497.0,0.06,23595.0,2322098.0,0.07816078391179011
5,Arkansas,AR,2019-12-01,2633806.0,455368.0,0.17,59198.0,2322098.0,0.19610197330172974
6,Arkansas,AR,2020-01-01,2587732.0,254811.0,0.1,33263.0,2322098.0,0.1097330948133972
7,Arkansas,AR,2020-02-01,4294366.0,411589.0,0.1,67494.0,2322098.0,0.1772487638333955
8,Arkansas,AR,2020-03-01,1588403.0,222373.0,0.14,38310.0,2322098.0,0.09576383081161949
9,Arkansas,AR,2020-04-01,0.0,0.0,0.0,0.0,2322098.0,0.0
10,Arkansas,AR,2020-05-01,509.0,-115.0,-0.23,-15.0,2322098.0,-4.9524180288687214e-05
11,Arkansas,AR,2020-06-01,1189.0,10.0,0.01,1.0,2322098.0,4.306450459885845e-06
12,Arkansas,AR,2020-07-01,179315.0,-19633.0,-0.11,-2552.0,2322098.0,-0.008454854187893879
13,Arkansas,AR,2020-08-01,1008992.0,69625.0,0.07,9051.0,2322098.0,0.029983661326955194
14,Arkansas,AR,2020-09-01,3958748.0,397095.0,0.1,51622.0,2322098.0,0.17100699453683696
15,Arkansas,AR,2020-10-01,6559859.0,940513.0,0.14,122267.0,2322098.0,0.40502726413786155
16,Arkansas,AR,2020-11-01,6288249.0,975984.0,0.16,126878.0,2322098.0,0.4203026745641226
17,Arkansas,AR,2020-12-01,6415446.0,1054273.0,0.16,137055.0,2322098.0,0.4540174445695229
18,Arkansas,AR,2021-01-01,7187194.0,1383240.0,0.19,180474.0,2322098.0,0.5956854534132495
19,Arkansas,AR,2021-02-01,4469442.0,651239.0,0.15,92922.0,2322098.0,0.28045284910455975
20,Arkansas,AR,2021-03-01,5947427.0,805182.0,0.14,130877.0,2322098.0,0.3467476394191804
21,Arkansas,AR,2021-04-01,4065703.0,756328.0,0.19,131137.0,2322098.0,0.3257089063424541
22,Arkansas,AR,2021-05-01,3687207.0,506142.0,0.14,81710.0,2322098.0,0.21796754486675413
23,Arkansas,AR,2021-06-01,3895683.0,382940.0,0.1,59088.0,2322098.0,0.16491121391086852
24,Arkansas,AR,2021-07-01,2908833.0,449040.0,0.15,58375.0,2322098.0,0.19337685145071395
25,Arkansas,AR,2021-08-01,2892285.0,310481.0,0.11,40363.0,2322098.0,0.1337071045235817
