,state_abbr,date,handle,revenue,hold,taxes
0,AR,7/1/2019,416160.00,76885.00,0.19,9995.00
1,AR,8/1/2019,778249.00,58858.00,0.08,7652.00
2,AR,9/1/2019,2252196.00,183044.00,0.08,23796.00
3,AR,10/1/2019,2216369.00,380006.00,0.17,49401.00
4,AR,11/1/2019,2978235.00,181497.00,0.06,23595.00
5,AR,12/1/2019,2633806.00,455368.00,0.17,59198.00
6,AR,1/1/2020,2587732.00,254811.00,0.10,33263.00
7,AR,2/1/2020,4294366.00,411589.00,0.10,67494.00
8,AR,3/1/2020,1588403.00,222373.00,0.14,38310.00
9,AR,4/1/2020,0.00,0.00,0.00,0.00
10,AR,5/1/2020,509.00,-115.00,-0.23,-15.00
11,AR,6/1/2020,1189.00,10.00,0.01,1.00
12,AR,7/1/2020,179315.00,-19633.00,-0.11,-2552.00
13,AR,8/1/2020,1008992.00,69625.00,0.07,9051.00
14,AR,9/1/2020,3958748.00,397095.00,0.10,51622.00
15,AR,10/1/2020,6559859.00,940513.00,0.14,122267.00
16,AR,11/1/2020,6288249.00,975984.00,0.16,126878.00
17,AR,12/1/2020,6415446.00,1054273.00,0.16,137055.00
18,AR,1/1/2021,7187194.00,1383240.00,0.19,180474.00
19,AR,2/1/2021,4469442.00,651239.00,0.15,92922.00
20,AR,3/1/2021,5947427.00,805182.00,0.14,130877.00
21,AR,4/1/2021,4065703.00,756328.00,0.19,131137.00
22,AR,5/1/2021,3687207.00,506142.00,0.14,81710.00
23,AR,6/1/2021,3895683.00,382940.00,0.10,59088.00
24,AR,7/1/2021,2908833.00,449040.00,0.15,58375.00
25,AR,8/1/2021,2892285.00,310481.00,0.11,40363.00
26,AR,9/1/2021,7007774.00,809404.00,0.12,105223.00
27,AR,10/1/2021,9506183.00,803567.00,0.09,104464.00
28,AR,11/1/2021,8380191.00,1623434.00,0.19,211047.00
29,AR,12/1/2021,7794292.00,130305.00,0.02,6188.00
30,AR,1/1/2022,8775932.00,1181335.00,0.14,153574.00
31,AR,2/1/2022,5876444.00,359103.00,0.06,61390.00
32,AR,3/1/2022,10686501.00,791867.00,0.07,119671.00
33,AR,4/1/2022,8598226.00,749810.00,0.09,120297.00
34,AR,5/1/2022,10185647.00,615576.00,0.06,117426.00
35,AR,6/1/2022,12632207.00,4045.00,0.00,12598.00
36,AR,7/1/2022,9290467.00,854436.00,0.09,111077.00
37,AR,8/1/2022,10195911.00,1015339.00,0.10,131994.00
38,AR,9/1/2022,21185547.00,3208032.00,0.15,417044.00
39,AR,10/1/2022,26879107.00,2793719.00,0.10,363183.00
40,AR,11/1/2022,30576009.00,2999450.00,0.10,452393.00
41,AR,12/1/2022,30936485.00,3409972.00,0.11,449690.00
42,AR,1/1/2023,32976264.00,2868244.00,0.09,439379.00
43,AR,2/1/2023,29532263.00,1709714.00,0.06,254925.00
44,AR,3/1/2023,37474412.00,4264047.00,0.11,626042.00
45,AR,4/1/2023,25452659.00,2336023.00,0.09,349633.00
46,AR,5/1/2023,22777209.00,2293281.00,0.10,458656.00
47,AR,6/1/2023,22708945.00,1334973.00,0.06,266995.00
48,AR,7/1/2023,17577626.00,2077422.00,0.12,270065.00
49,AZ,9/1/2021,291212868.00,32308342.00,0.11,31393.00
50,AZ,10/1/2021,486097352.00,37510371.00,0.08,1022841.00
51,AZ,11/1/2021,466725687.00,51416143.00,0.11,3177148.00
52,AZ,12/1/2021,499213733.00,39822928.00,0.08,1723902.00
53,AZ,1/1/2022,563694591.00,41890200.00,0.07,1952971.00
54,AZ,2/1/2022,491665554.00,25629835.00,0.05,670686.00
55,AZ,3/1/2022,690979294.00,38898393.00,0.06,1864457.00
56,AZ,4/1/2022,512877848.00,30441992.00,0.06,1647450.00
57,AZ,5/1/2022,461450688.00,56193286.00,0.12,4125125.00
58,AZ,6/1/2022,318774198.00,12601356.00,0.04,766831.00
59,AZ,7/1/2022,290511533.00,22684581.00,0.08,1496427.00
60,AZ,8/1/2022,361008835.00,37161759.00,0.10,2767590.00
61,AZ,9/1/2022,537966149.00,56428816.00,0.11,3058838.00
62,AZ,10/1/2022,618570296.00,49392417.00,0.08,2963716.00
63,AZ,11/1/2022,616855045.00,56028195.00,0.09,3876208.00
64,AZ,12/1/2022,572490899.00,55581725.00,0.10,3724395.00
65,AZ,1/1/2023,591220794.00,47486817.00,0.08,2886502.00
66,AZ,2/1/2023,609278096.00,35412452.00,0.06,1609581.00
67,AZ,3/1/2023,644763991.00,53523947.00,0.08,3704268.00
68,AZ,4/1/2023,535712027.00,49163323.00,0.09,3429846.00
69,AZ,5/1/2023,451717025.00,49458507.00,0.11,3376059.00
70,AZ,6/1/2023,393198858.00,28331608.00,0.07,1633356.00
71,CO,5/1/2020,25621762.00,2565729.00,0.10,96538.00
72,CO,6/1/2020,38136949.00,3484015.00,0.09,217945.00
73,CO,7/1/2020,59183620.00,5196599.00,0.09,241731.00
74,CO,8/1/2020,128646209.00,7519599.00,0.06,189326.00
75,CO,9/1/2020,207655943.00,4166334.00,0.02,69772.00
76,CO,10/1/2020,210719821.00,17402409.00,0.08,824700.00
77,CO,11/1/2020,231238842.00,18354655.00,0.08,793820.00
78,CO,12/1/2020,284551472.00,17151867.00,0.06,531490.00
79,CO,1/1/2021,326903462.00,23144535.00,0.07,1195774.00
80,CO,2/1/2021,266549207.00,10444810.00,0.04,332227.00
81,CO,3/1/2021,300990842.00,20365119.00,0.07,1060854.00
82,CO,4/1/2021,244446760.00,17563939.00,0.07,1082611.00
83,CO,5/1/2021,248968193.00,15129108.00,0.06,633896.00
84,CO,6/1/2021,229764688.00,19730957.00,0.09,1186455.00
85,CO,7/1/2021,181327995.00,15652461.00,0.09,999111.00
86,CO,8/1/2021,211918185.00,15228343.00,0.07,728518.00
87,CO,9/1/2021,408314625.00,22658630.00,0.06,483048.00
88,CO,10/1/2021,491453342.00,28616708.00,0.06,1246804.00
89,CO,11/1/2021,475441229.00,36781848.00,0.08,1981640.00
90,CO,12/1/2021,461448574.00,24732487.00,0.05,770561.00
91,CO,1/1/2022,573720213.00,34640219.00,0.06,1447952.00
92,CO,2/1/2022,440508421.00,19604490.00,0.05,314731.00
93,CO,3/1/2022,505611080.00,28238194.00,0.06,1313076.00
94,CO,4/1/2022,392311737.00,22571887.00,0.06,1231742.00
95,CO,5/1/2022,360325438.00,27119329.00,0.08,1659189.00
96,CO,6/1/2022,313215081.00,6781092.00,0.02,268280.00
97,CO,7/1/2022,258414808.00,20802881.00,0.08,1092182.00
98,CO,8/1/2022,290107970.00,25859270.00,0.09,1822272.00
