Team,Venue,City,state,League,lat,lon
Arizona Diamondbacks,Chase Field,Phoenix,Arizona,MLB,33.4453,-112.0669
Phoenix Suns,Footprint Center,Phoenix,Arizona,NBA,�33.4459,-112.0715
Arizona Coyotes,Mullett Arena,Tempe,Arizona,NHL,33.4267,-111.9286
Arizona Cardinals,State Farm Stadium,Glendale,Arizona,NFL,33.5277,-112.2626
Los Angeles Angels,Angel Stadium,Anaheim,California,MLB,33.8003,-117.8828
Golden State Warriors,Chase Center,San Francisco,California,NBA,37.7680,-122.3878
Los Angeles Kings,Crypto.com Arena,Los Angeles,California,NHL,34.0430,-118.2673
Los Angeles Clippers,Crypto.com Arena,Los Angeles,California,NBA,34.0430,-118.2673
Los Angeles Lakers,Crypto.com Arena,Los Angeles,California,NBA,34.0430,-118.2673
Los Angeles Dodgers,Dodger Stadium,Los Angeles,California,MLB,34.0736,-118.2400
Sacramento Kings,Golden 1 Center,Sacramento,California,NBA,38.5802,-121.4997
Anaheim Ducks,Honda Center,Anaheim,California,NHL,33.8047,-117.8727
San Francisco 49ers,Levi's Stadium,Santa Clara,California,NFL,37.4030,-121.9700
Oakland Athletics,Oakland Coliseum,Oakland,California,MLB,37.7517,-122.2006
San Francisco Giants,Oracle Park,San Francisco,California,MLB,37.7783,-122.3894
San Diego Padres,Petco Park,San Diego,California,MLB,32.7073,-117.1566
San Jose Sharks,SAP Center at San Jose,San Jose,California,NHL,37.3263,37.3263
Los Angeles Chargers,SoFi Stadium,Inglewood,California,NFL,33.9530,-118.3390
Los Angeles Rams,SoFi Stadium,Inglewood,California,NFL,33.9530,-118.3390
Denver Nuggets,Ball Arena,Denver,Colorado,NBA,39.7489,-105.0084
Colorado Avalanche,Ball Arena,Denver,Colorado,NHL,39.7489,-105.0084
Colorado Rockies,Coors Field,Denver,Colorado,MLB,39.7561,-104.9942
Denver Broncos,Empower Field at Mile High,Denver,Colorado,NFL,39.7439,-105.0200
Washington Capitals,Capital One Arena,Washington,District of Columbia,NHL,38.8981,-77.0212
Washington Wizards,Capital One Arena,Washington,District of Columbia,NBA,38.8981,-77.0212
Washington Nationals,Nationals Park,Washington,District of Columbia,MLB,38.8728,-77.0075
Tampa Bay Lightning,Amalie Arena,Tampa,Florida,NHL,27.9427,-82.4521
Orlando Magic,Amway Center,Orlando,Florida,NBA,28.5392,-81.3836
Florida Panthers,FLA Live Arena,Sunrise,Florida,NHL,26.1585,-80.3260
Miami Dolphins,Hard Rock Stadium,Miami Gardens,Florida,NFL,25.9581,-80.2389
Miami Heat,Kaseya Center,Miami,Florida,NBA,25.7814,-80.1883
Miami Marlins,loanDepot Park,Miami,Florida,MLB,25.7781,-80.2197
Tampa Bay Buccaneers,Raymond James Stadium,Tampa,Florida,NFL,27.9760,-82.5034
Jacksonville Jaguars,TIAA Bank Field,Jacksonville,Florida,NFL,30.3239,-81.6375
Tampa Bay Rays,Tropicana Field,St. Petersburg,Florida,MLB,27.7683,-82.6533
Atlanta Falcons,Mercedes-Benz Stadium,Atlanta,Georgia,NFL,33.7576,-84.4010
Atlanta Hawks,State Farm Arena,Atlanta,Georgia,NBA,33.7573,-84.3963
Atlanta Braves,Truist Park,Cumberland,Georgia,MLB,33.7353,-84.3894
Chicago White Sox,Guaranteed Rate Field,Chicago,Illinois,MLB,41.8300,-87.6339
Chicago Bears,Soldier Field,Chicago,Illinois,NFL,41.8623,-87.6167
