,state,League,Team,City,Venue,lat,lon
0,Arizona,MLB,Arizona Diamondbacks,Phoenix,Chase Field,33.4453,-112.0669
1,Arizona,NBA,Phoenix Suns,Phoenix,Footprint Center, 33.4459,-112.0715
2,Arizona,NHL,Arizona Coyotes,Tempe,Mullett Arena,33.4267,-111.9286
3,Arizona,NFL,Arizona Cardinals,Glendale,State Farm Stadium,33.5277,-112.2626
4,California,MLB,Los Angeles Angels,Anaheim,Angel Stadium,33.8003,-117.8828
5,California,NBA,Golden State Warriors,San Francisco,Chase Center,37.7680,-122.3878
6,California,NHL,Los Angeles Kings,Los Angeles,Crypto.com Arena,34.0430,-118.2673
7,California,NBA,Los Angeles Clippers,Los Angeles,Crypto.com Arena,34.0430,-118.2673
8,California,NBA,Los Angeles Lakers,Los Angeles,Crypto.com Arena,34.0430,-118.2673
9,California,MLB,Los Angeles Dodgers,Los Angeles,Dodger Stadium,34.0736,-118.2400
10,California,NBA,Sacramento Kings,Sacramento,Golden 1 Center,38.5802,-121.4997
11,California,NHL,Anaheim Ducks,Anaheim,Honda Center,33.8047,-117.8727
12,California,NFL,San Francisco 49ers,Santa Clara,Levi's Stadium,37.4030,-121.9700
13,California,MLB,Oakland Athletics,Oakland,Oakland Coliseum,37.7517,-122.2006
14,California,MLB,San Francisco Giants,San Francisco,Oracle Park,37.7783,-122.3894
15,California,MLB,San Diego Padres,San Diego,Petco Park,32.7073,-117.1566
16,California,NHL,San Jose Sharks,San Jose,SAP Center at San Jose,37.3263,37.3263
17,California,NFL,Los Angeles Chargers,Inglewood,SoFi Stadium,33.9530,-118.3390
18,California,NFL,Los Angeles Rams,Inglewood,SoFi Stadium,33.9530,-118.3390
19,Colorado,NBA,Denver Nuggets,Denver,Ball Arena,39.7489,-105.0084
20,Colorado,NHL,Colorado Avalanche,Denver,Ball Arena,39.7489,-105.0084
21,Colorado,MLB,Colorado Rockies,Denver,Coors Field,39.7561,-104.9942
22,Colorado,NFL,Denver Broncos,Denver,Empower Field at Mile High,39.7439,-105.0200
23,District of Columbia,NHL,Washington Capitals,Washington,Capital One Arena,38.8981,-77.0212
