,state,state_abbr,date,handle,revenue,hold,taxes,population total 18+,Revenue Per Person
0,Arkansas,AR,2019-07-01,"$416,160.00","$76,885.00",19.00%,"$9,995.00","2,322,098.0",$0.03
1,Arkansas,AR,2019-08-01,"$778,249.00","$58,858.00",8.00%,"$7,652.00","2,322,098.0",$0.03
2,Arkansas,AR,2019-09-01,"$2,252,196.00","$183,044.00",8.00%,"$23,796.00","2,322,098.0",$0.08
3,Arkansas,AR,2019-10-01,"$2,216,369.00","$380,006.00",17.00%,"$49,401.00","2,322,098.0",$0.16
4,Arkansas,AR,2019-11-01,"$2,978,235.00","$181,497.00",6.00%,"$23,595.00","2,322,098.0",$0.08
5,Arkansas,AR,2019-12-01,"$2,633,806.00","$455,368.00",17.00%,"$59,198.00","2,322,098.0",$0.20
6,Arkansas,AR,2020-01-01,"$2,587,732.00","$254,811.00",10.00%,"$33,263.00","2,322,098.0",$0.11
7,Arkansas,AR,2020-02-01,"$4,294,366.00","$411,589.00",10.00%,"$67,494.00","2,322,098.0",$0.18
8,Arkansas,AR,2020-03-01,"$1,588,403.00","$222,373.00",14.00%,"$38,310.00","2,322,098.0",$0.10
9,Arkansas,AR,2020-04-01,$0.00,$0.00,0.00%,$0.00,"2,322,098.0",$0.00
10,Arkansas,AR,2020-05-01,$509.00,$-115.00,-23.00%,$-15.00,"2,322,098.0",$-0.00
11,Arkansas,AR,2020-06-01,"$1,189.00",$10.00,1.00%,$1.00,"2,322,098.0",$0.00
12,Arkansas,AR,2020-07-01,"$179,315.00","$-19,633.00",-11.00%,"$-2,552.00","2,322,098.0",$-0.01
13,Arkansas,AR,2020-08-01,"$1,008,992.00","$69,625.00",7.00%,"$9,051.00","2,322,098.0",$0.03
14,Arkansas,AR,2020-09-01,"$3,958,748.00","$397,095.00",10.00%,"$51,622.00","2,322,098.0",$0.17
15,Arkansas,AR,2020-10-01,"$6,559,859.00","$940,513.00",14.00%,"$122,267.00","2,322,098.0",$0.41
16,Arkansas,AR,2020-11-01,"$6,288,249.00","$975,984.00",16.00%,"$126,878.00","2,322,098.0",$0.42
17,Arkansas,AR,2020-12-01,"$6,415,446.00","$1,054,273.00",16.00%,"$137,055.00","2,322,098.0",$0.45
18,Arkansas,AR,2021-01-01,"$7,187,194.00","$1,383,240.00",19.00%,"$180,474.00","2,322,098.0",$0.60
19,Arkansas,AR,2021-02-01,"$4,469,442.00","$651,239.00",15.00%,"$92,922.00","2,322,098.0",$0.28
20,Arkansas,AR,2021-03-01,"$5,947,427.00","$805,182.00",14.00%,"$130,877.00","2,322,098.0",$0.35
21,Arkansas,AR,2021-04-01,"$4,065,703.00","$756,328.00",19.00%,"$131,137.00","2,322,098.0",$0.33
22,Arkansas,AR,2021-05-01,"$3,687,207.00","$506,142.00",14.00%,"$81,710.00","2,322,098.0",$0.22
23,Arkansas,AR,2021-06-01,"$3,895,683.00","$382,940.00",10.00%,"$59,088.00","2,322,098.0",$0.16
24,Arkansas,AR,2021-07-01,"$2,908,833.00","$449,040.00",15.00%,"$58,375.00","2,322,098.0",$0.19
25,Arkansas,AR,2021-08-01,"$2,892,285.00","$310,481.00",11.00%,"$40,363.00","2,322,098.0",$0.13
26,Arkansas,AR,2021-09-01,"$7,007,774.00","$809,404.00",12.00%,"$105,223.00","2,322,098.0",$0.35
27,Arkansas,AR,2021-10-01,"$9,506,183.00","$803,567.00",9.00%,"$104,464.00","2,322,098.0",$0.35
28,Arkansas,AR,2021-11-01,"$8,380,191.00","$1,623,434.00",19.00%,"$211,047.00","2,322,098.0",$0.70
29,Arkansas,AR,2021-12-01,"$7,794,292.00","$130,305.00",2.00%,"$6,188.00","2,322,098.0",$0.06
30,Arkansas,AR,2022-01-01,"$8,775,932.00","$1,181,335.00",14.00%,"$153,574.00","2,322,098.0",$0.51
31,Arkansas,AR,2022-02-01,"$5,876,444.00","$359,103.00",6.00%,"$61,390.00","2,322,098.0",$0.15
32,Arkansas,AR,2022-03-01,"$10,686,501.00","$791,867.00",7.00%,"$119,671.00","2,322,098.0",$0.34
33,Arkansas,AR,2022-04-01,"$8,598,226.00","$749,810.00",9.00%,"$120,297.00","2,322,098.0",$0.32
34,Arkansas,AR,2022-05-01,"$10,185,647.00","$615,576.00",6.00%,"$117,426.00","2,322,098.0",$0.27
