state_abbr,date,handle,revenue,hold,taxes
AR,Jul-19,416160,76885,0.185,9995
AR,Aug-19,778249,58858,0.076,7652
AR,Sep-19,2252196,183044,0.081,23796
AR,Oct-19,2216369,380006,0.171,49401
AR,Nov-19,2978235,181497,0.061,23595
AR,Dec-19,2633806,455368,0.173,59198
AR,Jan-20,2587732,254811,0.098,33263
AR,Feb-20,4294366,411589,0.096,67494
AR,Mar-20,1588403,222373,0.14,38310
AR,Apr-20,0,0,0,0
AR,May-20,509,-115,-0.226,-15
AR,Jun-20,1189,10,0.008,1
AR,Jul-20,179315,-19633,-0.109,-2552
AR,Aug-20,1008992,69625,0.069,9051
AR,Sep-20,3958748,397095,0.1,51622
AR,Oct-20,6559859,940513,0.143,122267
AR,Nov-20,6288249,975984,0.155,126878
AR,Dec-20,6415446,1054273,0.164,137055
AR,Jan-21,7187194,1383240,0.192,180474
AR,Feb-21,4469442,651239,0.146,92922
AR,Mar-21,5947427,805182,0.135,130877
AR,Apr-21,4065703,756328,0.186,131137
AR,May-21,3687207,506142,0.137,81710
AR,Jun-21,3895683,382940,0.098,59088
AR,Jul-21,2908833,449040,0.154,58375
AR,Aug-21,2892285,310481,0.107,40363
AR,Sep-21,7007774,809404,0.116,105223
AR,Oct-21,9506183,803567,0.085,104464
AR,Nov-21,8380191,1623434,0.194,211047
AR,Dec-21,7794292,130305,0.017,6188
AR,Jan-22,8775932,1181335,0.135,153574
AR,Feb-22,5876444,359103,0.061,61390
AR,Mar-22,10686501,791867,0.074,119671
AR,Apr-22,8598226,749810,0.087,120297
AR,May-22,10185647,615576,0.06,117426
AR,Jun-22,12632207,4045,0,12598
AR,Jul-22,9290467,854436,0.092,111077
AR,Aug-22,10195911,1015339,0.1,131994
AR,Sep-22,21185547,3208032,0.151,417044
AR,Oct-22,26879107,2793719,0.104,363183
AR,Nov-22,30576009,2999450,0.098,452393
AR,Dec-22,30936485,3409972,0.11,449690
AR,Jan-23,32976264,2868244,0.087,439379
AR,Feb-23,29532263,1709714,0.058,254925
AR,Mar-23,37474412,4264047,0.114,626042
AR,Apr-23,25452659,2336023,0.092,349633
AR,May-23,22777209,2293281,0.101,458656
AR,Jun-23,22708945,1334973,0.059,266995
AR,Jul-23,17577626,2077422,0.118,270065
AZ,Aug-23,291212868,32308342,0.111,31393
AZ,Sep-23,486097352,37510371,0.077,1022841
AZ,Oct-23,466725687,51416143,0.11,3177148
AZ,Nov-23,499213733,39822928,0.08,1723902
AZ,Dec-23,563694591,41890200,0.074,1952971
AZ,Jan-24,491665554,25629835,0.052,670686
AZ,Feb-24,690979294,38898393,0.056,1864457
AZ,Mar-24,512877848,30441992,0.059,1647450
AZ,Apr-24,461450688,56193286,0.122,4125125
AZ,May-24,318774198,12601356,0.04,766831
AZ,Jun-24,290511533,22684581,0.078,1496427
AZ,Jul-24,361008835,37161759,0.103,2767590
AZ,Aug-24,537966149,56428816,0.105,3058838
AZ,Sep-24,618570296,49392417,0.08,2963716
AZ,Oct-24,616855045,56028195,0.091,3876208
AZ,Nov-24,572490899,55581725,0.097,3724395
AZ,Dec-24,591220794,47486817,0.08,2886502
AZ,Jan-25,609278096,35412452,0.058,1609581
AZ,Feb-25,644763991,53523947,0.083,3704268
AZ,Mar-25,535712027,49163323,0.092,3429846
AZ,Apr-25,451717025,49458507,0.109,3376059
AZ,May-25,393198858,28331608,0.072,1633356
CO,Jun-25,25621762,2565729,0.1,96538
CO,Jul-25,38136949,3484015,0.091,217945
CO,Aug-25,59183620,5196599,0.088,241731
CO,Sep-25,128646209,7519599,0.058,189326
CO,Oct-25,207655943,4166334,0.02,69772
CO,Nov-25,210719821,17402409,0.083,824700
CO,Dec-25,231238842,18354655,0.079,793820
CO,Jan-26,284551472,17151867,0.06,531490
CO,Feb-26,326903462,23144535,0.071,1195774
CO,Mar-26,266549207,10444810,0.039,332227
CO,Apr-26,300990842,20365119,0.068,1060854
CO,May-26,244446760,17563939,0.072,1082611
CO,Jun-26,248968193,15129108,0.061,633896
CO,Jul-26,229764688,19730957,0.086,1186455
CO,Aug-26,181327995,15652461,0.086,999111
CO,Sep-26,211918185,15228343,0.072,728518
CO,Oct-26,408314625,22658630,0.055,483048
CO,Nov-26,491453342,28616708,0.058,1246804
CO,Dec-26,475441229,36781848,0.077,1981640
CO,Jan-27,461448574,24732487,0.054,770561
CO,Feb-27,573720213,34640219,0.06,1447952
CO,Mar-27,440508421,19604490,0.045,314731
CO,Apr-27,505611080,28238194,0.056,1313076
CO,May-27,392311737,22571887,0.058,1231742
CO,Jun-27,360325438,27119329,0.075,1659189
CO,Jul-27,313215081,6781092,0.022,268280
CO,Aug-27,258414808,20802881,0.081,1092182
CO,Sep-27,290107970,25859270,0.089,1822272
CO,Oct-27,450232597,51339659,0.114,2989342
CO,Nov-27,526619777,36514974,0.069,2330705
CO,Dec-27,552603013,37569022,0.068,2581533
CO,Jan-28,518088768,40909238,0.079,2583711
CO,Feb-28,547189025,35482562,0.065,2586457
CO,Mar-28,425142877,22599602,0.053,1257332
CO,Apr-28,494440210,45935669,0.093,3103024
CO,May-28,417814147,35148592,0.084,2582615
CO,Jun-28,385242136,31406903,0.082,2218084
CO,Jul-28,310656478,9223661,0.03,441951
CT,Aug-28,54641474,5567547,0.102,512951
CT,Sep-28,131729179,17456823,0.133,1712136
CT,Oct-28,150073755,10242899,0.068,929336
CT,Nov-28,158092481,11891808,0.075,1142510
CT,Dec-28,115619953,5844220,0.051,501516
CT,Jan-29,140747137,11511388,0.082,1037570
CT,Feb-29,116465199,10353842,0.089,988263
CT,Mar-29,115180155,10308064,0.089,981304
CT,Apr-29,95421852,7142610,0.075,669453
CT,May-29,78316775,8611816,0.11,859094
CT,Jun-29,80037045,10882317,0.136,1153125
CT,Jul-29,130547719,17608762,0.135,1777391
CT,Aug-29,164170106,17012667,0.104,1736473
CT,Sep-29,165026282,17869847,0.108,1942387
CT,Oct-29,160266050,16268906,0.102,1736006
CT,Nov-29,167673044,19610098,0.117,1919290
CT,Dec-29,136508300,11626147,0.085,1175694
